13,asing,5303
19,asing,5303
41,asing,5302
44,asing,5303
121,asing,5303
138,asing,5303
139,asing,5303
140,asing,5303
188,asing,5302
190,asing,5302
205,asing,5303
242,asing,5302
286,asing,5302
311,asing,5302
313,asing,5301
353,asing,5303
412,asing,5303
419,asing,5303
453,asing,5302
465,asing,5302
524,asing,5302
535,asing,5303
553,asing,5303
587,asing,5303
663,asing,5303
704,asing,5303
738,asing,5302
775,asing,5303
843,asing,5302
851,asing,5302
964,asing,5303
1015,asing,5302
1022,asing,5302
1076,asing,5302
1102,asing,5302
1132,asing,5302
1167,asing,5303
1241,asing,5303
1245,asing,5303
1309,asing,5303
1323,asing,5303
1390,asing,5303
1454,asing,5303
1485,asing,5303
1491,asing,5303
1500,asing,5302
1616,asing,5303
1628,asing,5303
1694,asing,5302
1714,asing,5302
1757,asing,5302
1795,asing,5303
1818,asing,5303
1819,asing,5303
1820,asing,5303
1870,asing,5303
2001,asing,5302
2028,asing,5303
2088,asing,5303
2104,asing,5303
2141,asing,5303
2274,asing,5302
2277,asing,5303
2289,asing,5302
2317,asing,5302
2435,asing,5303
2556,asing,5303
2654,asing,5302
2845,asing,5302
2858,asing,5303
2876,asing,5303
2976,asing,5302
3003,asing,5303
3032,asing,5302
3083,asing,5302
3160,asing,5303
3331,asing,5303
3362,asing,5303
3363,asing,5302
3378,asing,5303
3389,asing,5303
3412,asing,5302
3436,asing,5303
3443,asing,5303
3638,asing,5303
3640,asing,5303
3676,asing,5301
3684,asing,5302
3687,asing,5303
3734,asing,5303
3762,asing,5303
3826,asing,5302
3829,asing,5303
3866,asing,5303
3896,asing,5302
3903,asing,5302
3924,asing,5303
3943,asing,5303
3968,asing,5302
3969,asing,5303
4050,asing,5302
4065,asing,5302
4084,asing,5302
4102,asing,5303
4105,asing,5302
4107,asing,5303
4158,asing,5303
4247,asing,5303
4300,asing,5303
4329,asing,5303
4530,asing,5303
4532,asing,5303
4576,asing,5302
4647,asing,5302
4701,asing,5302
4723,asing,5302
4772,asing,5302
4799,asing,5303
4837,asing,5303
4884,asing,5303
4938,asing,5302
4981,asing,5303
4985,asing,5303
5123,asing,5302
5130,asing,5303
5187,asing,5302
5250,asing,5303
5260,asing,5303
5261,asing,5303
5330,asing,5302
5375,asing,5302
5391,asing,5302
5427,asing,5302
5440,asing,5303
5483,asing,5303
5559,asing,5303
5572,asing,5302
5581,asing,5303
5608,asing,5302
5645,asing,5303
5671,asing,5303
6181,atas,440x
